feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,label
0.0,0.0,0.0,0.092629865,0.09476887,-0.26591954,0.173658,0.08487737,-0.45100322,0.22995684,0.043716975,-0.5881072,0.24432787,0.015243603,-0.70893675,0.056504358,-0.37732914,-0.4309094,0.38633662,-0.35444623,-0.58739287,0.56777143,-0.25925323,-0.6531357,0.70538276,-0.16124944,-0.69024193,0.09281626,-0.5182492,-0.3572509,0.47668552,-0.47364014,-0.52288073,0.64835334,-0.32335502,-0.56441784,0.75127465,-0.1837103,-0.577522,0.15792212,-0.5864519,-0.2954753,0.512411,-0.54924685,-0.4278899,0.6780288,-0.4073861,-0.4527806,0.77740216,-0.28021106,-0.4548883,0.24072683,-0.6003751,-0.25249338,0.4989848,-0.55567473,-0.35312524,0.6398448,-0.4413434,-0.38884142,0.73438734,-0.35207304,-0.40162668,0
0.0,0.0,0.0,0.12674809,-0.021355597,-0.1569916,0.25234607,-0.09467192,-0.29892862,0.42086172,-0.12661633,-0.4198255,0.57633317,-0.14538999,-0.530189,0.049419638,-0.39410156,-0.31310993,0.35564107,-0.31355125,-0.49718606,0.54816896,-0.19678083,-0.60198456,0.7031789,-0.10077283,-0.6629074,0.044368368,-0.48948994,-0.30711192,0.44246948,-0.4134244,-0.50741607,0.65189755,-0.2541313,-0.56869584,0.79601496,-0.12999058,-0.5911537,0.078998186,-0.5256161,-0.31236115,0.47096118,-0.48894745,-0.48752284,0.6787248,-0.33906177,-0.5185709,0.80790144,-0.2211995,-0.5137841,0.13627197,-0.52129704,-0.32734746,0.44730273,-0.48212612,-0.45343164,0.6261455,-0.3797789,-0.48581702,0.752553,-0.30059612,-0.49173883,0
0.0,0.0,0.0,0.10500846,0.054951854,-0.16565685,0.25745583,0.03319167,-0.29402745,0.43901205,0.027487243,-0.39053887,0.59701616,0.053326704,-0.47240654,0.17156908,-0.30719367,-0.34362483,0.5319117,-0.17208874,-0.48461106,0.6768501,-0.017817717,-0.540591,0.7823959,0.105590664,-0.57041276,0.21232581,-0.43101823,-0.3155039,0.6391436,-0.2693087,-0.46885386,0.78115404,-0.07682374,-0.49545264,0.8636824,0.08194629,-0.49733037,0.27691907,-0.48278606,-0.2917764,0.6795785,-0.31791192,-0.41819733,0.8071797,-0.13369021,-0.4258614,0.8836924,0.0092405565,-0.41438496,0.35292763,-0.4767724,-0.27888855,0.6570662,-0.32753125,-0.3671997,0.7676539,-0.17796713,-0.38074958,0.84207636,-0.06567696,-0.37752572,0
0.0,0.0,0.0,0.3288144,-0.15674263,-0.0044229133,0.5139368,-0.3503781,-0.054386135,0.65289056,-0.53261536,-0.12774684,0.642033,-0.7410043,-0.19673944,0.09733566,-0.7902946,0.025570719,0.28882182,-0.90555626,-0.061416786,0.45334342,-0.8527322,-0.12585326,0.55769545,-0.7562291,-0.16393767,0.0032516853,-0.7966683,-0.03555898,0.25274563,-0.9361639,-0.14937794,0.4376274,-0.851356,-0.22134326,0.53549004,-0.702319,-0.2530535,-0.04905798,-0.7498532,-0.10565635,0.20618042,-0.89857626,-0.20008594,0.40877977,-0.8087153,-0.23187518,0.5163014,-0.6684197,-0.232256,-0.066338785,-0.6555347,-0.17870387,0.17005244,-0.7721444,-0.24062788,0.3623711,-0.7462772,-0.25830376,0.48732743,-0.6699038,-0.25806946,0
0.0,0.0,0.0,0.21993531,-0.23864827,0.15036778,0.26416433,-0.46795008,0.18044642,0.35221472,-0.610939,0.15639585,0.41462672,-0.72604287,0.13782114,-0.14906172,-0.6051938,0.12139835,0.022575,-0.9085726,0.029254416,0.2385447,-0.92098826,-0.027964603,0.38748246,-0.83886564,-0.046190713,-0.17950258,-0.5859519,-0.012232136,0.029215276,-0.9679678,-0.13196008,0.2986755,-0.9372294,-0.1799836,0.4473805,-0.8195109,-0.1796851,-0.14137208,-0.5564176,-0.14466485,0.04467118,-0.9333866,-0.23165455,0.29748693,-0.90308505,-0.22228415,0.42165282,-0.7995963,-0.18811028,-0.04161628,-0.50933415,-0.26891005,0.12737677,-0.7877268,-0.31565833,0.30996922,-0.800087,-0.29340398,0.42020392,-0.74736977,-0.25983992,0
0.0,0.0,0.0,0.21996982,-0.2502772,0.12476948,0.27257815,-0.46380508,0.1403102,0.35628957,-0.6027079,0.10287339,0.3987802,-0.7145681,0.06916427,-0.17175436,-0.6061364,0.13395622,0.0027851574,-0.90889156,0.03882406,0.23377402,-0.9186231,-0.04245212,0.402241,-0.84685224,-0.08346048,-0.21703355,-0.58227617,0.0076510548,-0.002617521,-0.9647886,-0.10140403,0.27821016,-0.945406,-0.16972518,0.4425006,-0.8458154,-0.19220084,-0.18826412,-0.55135787,-0.12041855,0.012088693,-0.93180555,-0.20371486,0.28133434,-0.90882975,-0.21016201,0.4225952,-0.80772114,-0.19178864,-0.07846607,-0.5044476,-0.24315819,0.094773896,-0.78510153,-0.2912115,0.28307503,-0.7991065,-0.2752268,0.4003252,-0.7436445,-0.25070477,0
0.0,0.0,0.0,0.21671332,-0.2373935,0.15688275,0.26389965,-0.4550863,0.1817689,0.3587466,-0.58941495,0.14939427,0.4218424,-0.70840573,0.12068153,-0.15422764,-0.6149109,0.12627932,0.04560691,-0.9193909,0.035218317,0.26580745,-0.9152036,-0.028300995,0.41129252,-0.82013583,-0.051435564,-0.18082523,-0.59472185,-0.013150245,0.048653748,-0.970711,-0.12313478,0.32023722,-0.93085796,-0.17593054,0.465194,-0.80697185,-0.18389858,-0.13911818,-0.5626943,-0.15022235,0.07069506,-0.9326101,-0.2233118,0.3285168,-0.8954155,-0.21479595,0.44855434,-0.7859476,-0.18720055,-0.034349117,-0.5116199,-0.2790754,0.15037586,-0.7921424,-0.31254834,0.33794922,-0.79906315,-0.2835016,0.44446135,-0.73925734,-0.2488033,0
0.0,0.0,0.0,0.2353225,-0.18914865,0.1769392,0.32762828,-0.39175314,0.2128157,0.44081622,-0.5124853,0.19176857,0.52708644,-0.62095296,0.17416194,-0.045612488,-0.60709363,0.119328655,0.17099856,-0.89424616,0.038987406,0.38554,-0.87847024,-0.0009322267,0.5154299,-0.7694433,-0.005017523,-0.07108268,-0.60032344,-0.024563234,0.1964019,-0.94968355,-0.1339948,0.45053267,-0.87763953,-0.1636124,0.566052,-0.7277099,-0.14752892,-0.030391326,-0.56333786,-0.16310525,0.21348119,-0.9042092,-0.23171337,0.4529528,-0.8382538,-0.20051013,0.5533562,-0.71618384,-0.15210378,0.0662969,-0.4951838,-0.29119635,0.26968098,-0.75135374,-0.31812066,0.44789508,-0.7408817,-0.2788887,0.54502964,-0.671385,-0.23271316,0
0.0,0.0,0.0,0.21750467,-0.24549837,0.13051476,0.25935093,-0.47487205,0.14996232,0.34576908,-0.6208708,0.11862819,0.37530026,-0.7487707,0.093617514,-0.16130184,-0.60137016,0.120875075,0.004546284,-0.9039633,0.02669952,0.22093709,-0.92488897,-0.041759055,0.37540632,-0.84782207,-0.06791657,-0.19570085,-0.5850093,-0.0032600933,-0.0028921242,-0.95949566,-0.11589438,0.26644197,-0.94823074,-0.17282146,0.4230857,-0.83839273,-0.18218635,-0.16753796,-0.56293446,-0.12842049,0.008270762,-0.93453676,-0.20454451,0.2616587,-0.91617614,-0.20096038,0.39307824,-0.81526566,-0.17457783,-0.07521693,-0.5230275,-0.24816114,0.09029062,-0.79966587,-0.28395703,0.2730461,-0.8135456,-0.25943172,0.38625208,-0.7593581,-0.22620872,0
0.0,0.0,0.0,0.2311353,-0.12422551,0.07269978,0.34068167,-0.31272697,0.04211263,0.47341225,-0.44644982,-0.034737736,0.49369553,-0.5907584,-0.10610976,-0.08800347,-0.62249243,0.037345026,0.10529645,-0.9316193,-0.09515263,0.34429568,-0.8565487,-0.18740249,0.45569146,-0.7020144,-0.22199976,-0.15482676,-0.61207944,-0.07405707,0.08065109,-0.9794431,-0.18489604,0.3612905,-0.87936413,-0.23247483,0.4702113,-0.71721643,-0.24085152,-0.15366575,-0.57360387,-0.19160508,0.07420809,-0.9392445,-0.2912437,0.33624265,-0.82539344,-0.27042547,0.42656487,-0.6638278,-0.2283254,-0.07731683,-0.49419466,-0.3068784,0.12519358,-0.7860539,-0.3743726,0.3201346,-0.7241827,-0.3386204,0.40130898,-0.5949402,-0.2922234,0
